speech_id,record_id,member_code,speaker_name,debate_date,speech_order,source_speech_text_hash,issue_label,issue_label_source,model_name,classification_status,review_status,classified_at_utc,source_key,run_id
a64c003170a89959a192983c,a64c003170a89959a192983c:1,,Cléireach na Dála,2024-12-18,1,7c96d2c54930858a082c94e2,Government Operations,legacy_classified_debate_output,legacy_unknown,classified,unreviewed,,processed/debates/debate_speeches_classified.csv,enrichment_speech_issue_labels_20260630T050043Z
f00e3662ce56b36b07bf12f2,f00e3662ce56b36b07bf12f2:10,,Cléireach na Dála,2024-12-18,10,148c678fbcc84ed76188f123,Government Operations,legacy_classified_debate_output,legacy_unknown,classified,unreviewed,,processed/debates/debate_speeches_classified.csv,enrichment_speech_issue_labels_20260630T050043Z
b4476d040f502b72fc799532,b4476d040f502b72fc799532:11,,Cléireach na Dála,2024-12-18,11,4648f2b23f68540e3c2f3777,Government Operations,legacy_classified_debate_output,legacy_unknown,classified,unreviewed,,processed/debates/debate_speeches_classified.csv,enrichment_speech_issue_labels_20260630T050043Z
7bbe1ffa618cdf7278201833,7bbe1ffa618cdf7278201833:12,,Verona Murphy,2024-12-18,12,d72f4cf706a2c3eeef8d37ec,Government Operations,legacy_classified_debate_output,legacy_unknown,classified,unreviewed,,processed/debates/debate_speeches_classified.csv,enrichment_speech_issue_labels_20260630T050043Z
4915a722d55e6adc7c85e944,4915a722d55e6adc7c85e944:13,,Simon Harris,2024-12-18,13,f4ae191240125bfa5808359c,Government Operations,legacy_classified_debate_output,legacy_unknown,classified,unreviewed,,processed/debates/debate_speeches_classified.csv,enrichment_speech_issue_labels_20260630T050043Z
407b60df9f5ecf7e7eadab20,407b60df9f5ecf7e7eadab20:14,,Deputies,2024-12-18,14,fe9edd65f8d3ff91f5a40205,NONE,legacy_classified_debate_output,legacy_unknown,classified,unreviewed,,processed/debates/debate_speeches_classified.csv,enrichment_speech_issue_labels_20260630T050043Z
1f1e8f697945b3d7c05f8d21,1f1e8f697945b3d7c05f8d21:15,,Simon Harris,2024-12-18,15,41d1c9bcba61244ea48a3479,International Affairs and Foreign Aid,legacy_classified_debate_output,legacy_unknown,classified,unreviewed,,processed/debates/debate_speeches_classified.csv,enrichment_speech_issue_labels_20260630T050043Z
b5410d4551da7710068a7280,b5410d4551da7710068a7280:16,,Verona Murphy,2024-12-18,16,aab7a07e95478f75a9bfbd3b,NONE,legacy_classified_debate_output,legacy_unknown,classified,unreviewed,,processed/debates/debate_speeches_classified.csv,enrichment_speech_issue_labels_20260630T050043Z
0c53588f0ba0cdee0ab07024,0c53588f0ba0cdee0ab07024:17,,Mary Lou McDonald,2024-12-18,17,66394dbb91c8f68b56c1730d,NONE,legacy_classified_debate_output,legacy_unknown,classified,unreviewed,,processed/debates/debate_speeches_classified.csv,enrichment_speech_issue_labels_20260630T050043Z
a093fed5d41719dbcaf040b8,a093fed5d41719dbcaf040b8:18,,Pádraig Mac Lochlainn,2024-12-18,18,c346ce41b75b166261704eb4,NONE,legacy_classified_debate_output,legacy_unknown,classified,unreviewed,,processed/debates/debate_speeches_classified.csv,enrichment_speech_issue_labels_20260630T050043Z
