record_id,member_code,full_name,summary_text,summary_source,model_name,source_key,source_hash,review_status,generated_at_utc,run_id
member_summary:cca06e41dd154156a10b43fe,Aengus-Ó-Snodaigh.D.2002-06-06,Aengus Ó Snodaigh,"Aengus Ó Snodaigh, born on July 31, 1964, in Dublin, Ireland, is an Irish politician representing Sinn Féin. He grew up in an Irish-speaking household in Sandymount, Dublin, and attended Scoil Lorcáin and Coláiste Eoin. He later studied at University College Dublin, earning a Bachelor of Arts in History and Geography and a Higher Diploma in Education. Before entering politics, Ó Snodaigh worked as a secondary school teacher and literacy instructor in Dublin's inner city. He joined Sinn Féin in 1983 and was first elected as a Teachta Dála (TD) for Dublin South-Central in the 2002 general election. He has been re-elected in subsequent elections, serving as the party's spokesperson on various issues, including Irish language, Gaeltacht, Arts, and Culture. In 2024, Sinn Féin nominated him for the position of Ceann Comhairle in the new Dáil. )",legacy_member_summaries_output,legacy_unknown,processed/members/members_summaries.csv,dace73ef2be453b504689232,unreviewed,,enrichment_member_summaries_20260703T163359Z
member_summary:60f765041ce16d818842b657,Aidan-Farrelly.D.2024-11-29,Aidan Farrelly,"Aidan Farrelly is an Irish politician representing the Social Democrats party. Born in 1986 or 1987, he grew up in Clane, County Kildare. He holds a Bachelor of Arts in Applied Social Sciences from St Patrick's, Carlow College (2008), a Master of Science in Community and Youth Work (2018), and a Doctorate of Social Science (2024), all from Maynooth University. Before entering politics, Farrelly worked as a youth and community development worker, including roles with Kildare Youth Services and the Clane Youth Project. He was first elected to Kildare County Council in 2019, representing the Clane Local Electoral Area. In 2024, he was selected by the Social Democrats to contest the Kildare North constituency in the general election, succeeding party co-founder Catherine Murphy. Farrelly was elected as a Teachta Dála (TD) for Kildare North in November 2024. He is married to Aisling, and they have three children.",legacy_member_summaries_output,legacy_unknown,processed/members/members_summaries.csv,389ace6453da12dc9e6caa90,unreviewed,,enrichment_member_summaries_20260703T163359Z
member_summary:87e97fb910e53cf9def2c4f0,Aindrias-Moynihan.D.2016-10-03,Aindrias Moynihan,"Aindrias Moynihan is an Irish Fianna Fáil politician born on July 21, 1973, in Macroom, County Cork. He was raised in the Múscraí Gaeltacht, a region in the southern part of the Cork North-West constituency. Moynihan holds an engineering degree from Cork Institute of Technology and a Higher Diploma in Marketing and Management from University College Cork. Before entering politics, he worked in the engineering sector. In 2003, he was co-opted onto Cork County Council to fill the seat of his late father, Donal Moynihan, a former TD. He was subsequently elected as a local councillor in 2004, 2009, and 2014. In the 2016 general election, Moynihan was elected as a Teachta Dála (TD) for the Cork North-West constituency. He was re-elected in 2020 and 2024, serving as chair of the Committee on Budgetary Oversight during the 33rd Dáil. In 2025, he was appointed chair of the Oireachtas Committee on Agriculture and Food. Moynihan is married to Lisa, and they have four children. He is a native Irish speaker and is actively involved in",legacy_member_summaries_output,legacy_unknown,processed/members/members_summaries.csv,74e51bb3205da599c8266414,unreviewed,,enrichment_member_summaries_20260703T163359Z
member_summary:1a6d98566523993ca7150770,Aisling-Dempsey.D.2024-11-29,Aisling Dempsey,"Aisling Dempsey is an Irish politician representing the Fianna Fáil party. She was born in the 20th century in County Meath, Ireland. Before entering politics, Dempsey worked for Glenveagh Homes, a property development company. She is married to James Flood and has two children. Dempsey's father, Noel Dempsey, served as a Fianna Fáil Teachta Dála (TD) from 1987 to 2011 and held various ministerial positions, including Minister for Transport and Minister for the Environment and Local Government. ) Dempsey began her political career in 2019 when she was elected to Meath County Council for the Trim local electoral area. She was re-elected in 2024 and subsequently became Cathaoirleach (chairperson) of the Municipal District. In the 2024 general election, she was elected as a TD for the Meath West constituency, becoming the first female to represent the area in the Dáil Éireann. )",legacy_member_summaries_output,legacy_unknown,processed/members/members_summaries.csv,2e69f541168cf70c76be2cff,unreviewed,,enrichment_member_summaries_20260703T163359Z
member_summary:006c978c82cf2a821d9b404d,Alan-Dillon.D.2020-02-08,Alan Dillon,"Alan Dillon is an Irish Fine Gael politician born on 28 September 1982 in Castlebar, County Mayo. He grew up in Castlebar and attended Davitt College for his secondary education. Dillon pursued higher education at Maynooth University, earning a Bachelor of Science in Applied Mathematics and Biology. He furthered his studies with a Master of Science in Pharmaceutical Science from the Royal College of Surgeons in Ireland and a Postgraduate Diploma in Education from the University of Galway. ) Before entering politics, Dillon had a successful career in the multinational life sciences sector, specializing in biologics, pharmaceutical drug manufacturing, and medical devices. He co-founded Dillon Engineering Services, providing validation consulting and engineering managed services for large capital projects. ) Dillon was also a distinguished Gaelic footballer, representing Mayo as a senior player from 2003 to 2017. He captained the team and earned two GAA All-Star awards. ) In the 2020 general election, Dillon was elected as a Teachta Dála",legacy_member_summaries_output,legacy_unknown,processed/members/members_summaries.csv,38a93521296f1ea754a71b99,unreviewed,,enrichment_member_summaries_20260703T163359Z
member_summary:e9737a9dc949f95d9eb37211,Alan-Kelly.S.2007-07-23,Alan Kelly,"Alan Kelly is an Irish politician from Portroe, County Tipperary. He attended Portroe National School and Nenagh CBS, then studied English and History at University College Cork, earning a BA in 1995 and an M.Phil. in Political History in 1997. He later completed an MBS in eCommerce at University College Dublin in 2002. Before entering politics, Kelly worked as an eBusiness Manager with Bord Fáilte and Fáilte Ireland. ) Kelly's political career began in 2007 when he was elected to the Seanad Éireann on the Agricultural Panel. In 2009, he was elected as a Member of the European Parliament for the Ireland South constituency. He returned to national politics in 2011, winning a seat in the Dáil Éireann for Tipperary North. He served as Minister of State for Public and Commuter Transport from 2011 to 2014 and as Minister for the Environment, Community and Local Government from 2014 to 2016. Kelly was elected Deputy Leader of the Labour Party in 2014 and served as its leader from 2020 to 2022. )",legacy_member_summaries_output,legacy_unknown,processed/members/members_summaries.csv,a4ce1d1caf0317317e4922d2,unreviewed,,enrichment_member_summaries_20260703T163359Z
member_summary:23a06d53aa236bc3a0aa060f,Albert-Dolan.D.2024-11-29,Albert Dolan,"Albert Dolan is an Irish Fianna Fáil politician representing the Galway East constituency in Dáil Éireann since the 2024 general election. Born on December 1, 1998, in Galway, he was raised on a farm in Monivea, County Galway. ) Before entering politics, Dolan pursued a Bachelor of Commerce in Accounting at the University of Galway, qualifying as a Chartered Accountant. He works alongside his family in their accountancy practice based in Loughrea. ) Dolan's political career began in 2019 when he was elected to Galway County Council for the Athenry–Oranmore local electoral area at the age of 20, becoming the youngest person elected to the council. In June 2024, he was elected Cathaoirleach of Galway County Council, making him the youngest to hold that position. ) In the 2024 general election, Dolan topped the poll in Galway East, securing his seat in Dáil Éireann on his 26th birthday. )",legacy_member_summaries_output,legacy_unknown,processed/members/members_summaries.csv,9e052f02b1d88f4fab4e5619,unreviewed,,enrichment_member_summaries_20260703T163359Z
member_summary:e75bf63624b74aa44ad285a4,Ann-Graves.D.2024-11-29,Ann Graves,"Ann Graves is an Irish politician affiliated with Sinn Féin, serving as a Teachta Dála (TD) for the Dublin Fingal East constituency since November 2024. She grew up in Drumcondra and has resided in Swords since the early 1990s. Before entering politics, Graves worked as a shop steward for the SIPTU trade union in the education sector. Her political career began with support for Louise O'Reilly, a Sinn Féin TD for the former five-seat Fingal constituency. In 2018, she was co-opted onto Fingal County Council, representing Swords, and was re-elected in 2019. Although she lost her council seat in the 2024 local elections, she was co-opted back onto the council in September 2024. In the 2024 general election, Graves was elected as a TD for Dublin Fingal East. She is married, has three children, and one grandchild. )",legacy_member_summaries_output,legacy_unknown,processed/members/members_summaries.csv,f7b46e4754e6fb543288abb3,unreviewed,,enrichment_member_summaries_20260703T163359Z
member_summary:21afd591f3f044700ea4873c,Barry-Heneghan.D.2024-11-29,Barry Heneghan,"Barry Heneghan is an Irish independent politician who has served as a Teachta Dála (TD) for the Dublin Bay North constituency since November 2024. Born in Dublin, he attended Belvedere College, where he was awarded the Zayed Sustainability Prize for pioneering on-site energy and water sustainability with solar power and rainwater harvesting. He graduated from Dublin City University in 2022 with a Master's degree in sustainable energy systems. Before entering politics, Heneghan worked as a presenter for the TG4 show Barragram and as a barman in The Sheds pub in Clontarf. In June 2024, he was elected to Dublin City Council for the Clontarf area, succeeding outgoing councillor Damien O'Farrell. Later that year, he was elected as an independent TD for Dublin Bay North, becoming one of the youngest members of the Dáil at age 26. In January 2025, Heneghan was photographed at a community event with Dean Russell, a figure with past criminal convictions. In October 2025, he was detained by Israeli forces while attempting to provide aid to Gaza as part of the Global Sumud Flotilla but was released shortly thereafter. He is the brother of writer and television presenter Ciara Ní É.",legacy_member_summaries_output,legacy_unknown,processed/members/members_summaries.csv,9df470dfd64fc9419f8c9ef6,unreviewed,,enrichment_member_summaries_20260703T163359Z
member_summary:fbdd85abb4b758b0952dd561,Barry-Ward.S.2020-03-30,Barry Ward,"Barry Ward is an Irish Fine Gael politician and senior counsel, born in Dublin around 1976. He grew up in Deansgrange, County Dublin. Ward studied law at University College Dublin, Trinity College Dublin, the University of Paris, and the King's Inns, where he was called to the bar. He later became a senior counsel. Before entering politics, he served as a legal advisor to Taoiseach Enda Kenny. In 2009, Ward was elected to the Dún Laoghaire–Rathdown County Council, representing the Blackrock ward. He was re-elected in 2014 and 2019. In 2011, he ran unsuccessfully for the Seanad Éireann on the Administrative Panel. In 2020, he proposed a ban on single-use plastics in takeaways in Dún Laoghaire–Rathdown and promoted the Sutton-to-Sandycove greenway. Ward contested the 2020 general election in the Dún Laoghaire constituency but was not elected. He was subsequently elected to the Seanad Éireann on the Industrial and Commercial Panel. In November 2024, he was elected as a Teachta Dála for Dún Laoghaire.",legacy_member_summaries_output,legacy_unknown,processed/members/members_summaries.csv,927c7a2dd48dc365791131e1,unreviewed,,enrichment_member_summaries_20260703T163359Z
